id,name,type,price,city,avg_duration,rating,description
24,مطعم أسماك قدورة,restaurant,350.0,الإسكندرية,1.5,4.6,أكل بحري سي فود سمك وجمبري واستاكوزا شعبي ومشهور جداً في بحري قعدة عائلية ومجموعات كبيرة تجربة إسكندراني أصلية
25,منتزه الإسكندرية (حدائق قصر المنتزه),entertainment,25.0,الإسكندرية,4.0,4.7,خروجة طبيعية واسعة في الهواء الطلق حدائق ملكية على البحر مباشرة تمشي وتصوير وقعدة رايقة ومناسبة للعائلات والأطفال اقتصادية
26,كافيه ومقهى الفيشاوي,cafe,70.0,القاهرة,1.5,4.8,مكان تاريخي تراثي في خان الخليلي قعدة شعبية قديمة شاي بالنعناع وأجواء الحسين زحمة وحماسية ومناسبة للشباب والسياح بليل
27,ممشى أهل مصر,entertainment,20.0,القاهرة,2.5,4.6,خروجة وتفسح على النيل مباشرة في وسط البلد تمشي وتصوير في الهواء الطلق قعدة رايقة وفيها كافيهات ومطاعم مودرن مناسبة للشباب والعائلات
28,مطعم زيزو نتانا,restaurant,70.0,القاهرة,0.5,4.5,أكل شعبي سريع سجق وكبدة وحواوشي مشهور جداً بجانب باب الفتوح في القاهرة الفاطمية خروجة أكل سريعة واقتصادية ومناسبة للشباب بليل
29,حديقة الأسماك بالزمالك,entertainment,10.0,القاهرة,2.0,4.2,مكان هادئ خروجة في الجبلاية الأثرية أشجار ومغارات مساحات خضراء رخيصة جداً واقتصادية مناسبة للقراءة والهدوء والفسح السريعة
30,مطعم قرية بلبع بالإسكندرية,restaurant,300.0,الإسكندرية,1.5,4.7,أكل شرقي مشويات كباب وكفتة وفراخ فرع سيدي بشر قعدة عائلية ومجموعات كبيرة أكل دسم ومشهور جداً
31,مقهى ومحمصة البن البرازيلي,cafe,60.0,الإسكندرية,1.0,4.6,مكان هادئ كلاسيكي في محطة الرمل قهوة إسبريسو ومشروبات دافئة على الطراز القديم مناسب للقراءة والفسح السريعة والرايقة بوسط البلد
32,محمية وادي دجلة,entertainment,20.0,القاهرة,5.0,4.5,خروجة مغامرة في صحراء المعادي تمشي وتسلق وتخييم في الهواء الطلق هدوء تام وبعيد عن زحمة المدينة رخيصة جداً ومناسبة للشباب
33,مول كايرو فيستيفال سيتي (CFC),entertainment,100.0,القاهرة,4.0,4.8,خروجة مودرن ترفيهية في التجمع الخامس نافورة راقصة وسينمات ومطاعم وكافيهات متنوعة للتسوق والفسح العائلية والشبابية بليل زحمة وممتعة
34,أركان بلازا الشيخ زايد,cafe,250.0,الجيزة,2.5,4.7,مكان مودرن كافيهات ومطاعم فاخرة خروجة رايقة بليل ومناسبة للمقابلات الشبابية قعدة شيك وأجواء حماسية وممتازة للتصوير
35,ملاهي زيد بارك (Zed Park),entertainment,300.0,الجيزة,4.0,4.6,خروجة ترفيهية ملاهي وألعاب حديثة في الشيخ زايد العاب حماسية ومساحات خضراء مناسبة جداً للشباب والأصدقاء والأطفال تجربة ممتعة بليل
36,مطعم وكافيه مجمع تيفولي دوم,restaurant,200.0,القاهرة,2.0,4.5,تجمع مطاعم وكافيهات في مصر الجديدة خروجة أكل وقعدة شبابية وعائلية منوعة إضاءة ممتازة وأجواء بليل حيوية جداً
37,مركز ألعاب ومحاكاة VR Egypt,entertainment,150.0,القاهرة,1.5,4.6,خروجة ألعاب واقع افتراضي وبلايستيشن وgaming للشباب والمجموعات في مدينة نصر تجربة حماسية ومسلية جداً وتنافسية
38,مطعم ديرى كوين (Dairy Queen),restaurant,90.0,القاهرة,1.0,4.4,وجبات سريعة برجر وأيس كريم مشهور مناسب للشباب والأطفال خروجة أكل سريعة واقتصادية متوفر في المعادي ومناطق أخرى
39,مجمع كافيهات ومطاعم الـ Waterway,cafe,250.0,القاهرة,2.0,4.7,مكان هادئ وراقي في التجمع الخامس كافيهات ومطاعم مودرن مناسب للمشي الخفيف والمقابلات الشبابية الهادئة والراقية وتصوير مميز
40,ساقية الصاوي بالزمالك,entertainment,80.0,القاهرة,3.0,4.6,مركز ثقافي ترفيهي حفلات موسيقية مستقلة وعروض مسرحية خروجة شبابية ثقافية بامتياز تحت كوبري 26 يوليو أجواء ممتعة واقتصادية
41,مطعم حارة مصرية بالمول,restaurant,130.0,الجيزة,1.5,4.4,أكل شرقي شعبية فتة وحواوشي ومشويات بطابع ديكور الحارة المصرية القديمة داخل مول العرب بأكتوبر خروجة عائلية وشبابية مميزة
42,منطقة الكوربة بمصر الجديدة,cafe,100.0,القاهرة,2.0,4.8,خروجة تمشي وتصوير في شوارع مصر الجديدة الأثرية كافيهات ومحلات آيس كريم قعدة رايقة ومناسبة للشباب بليل أجواء كلاسيكية مميزة
43,جزيرة المعادي (حديقة جزيرة المعادي),entertainment,50.0,القاهرة,3.5,4.5,خروجة عائلية وشبابية في وسط النيل بالمعادي بحيرات صناعية ومساحات خضراء وقعدة رايقة في الهواء الطلق ومطاعم ومناسبة جداً للتصوير
44,مطعم أسماك البرج,restaurant,320.0,القاهرة,1.5,4.7,أكل بحري سي فود طواجن وجمبري وسمك مشوي ومقلي فرع مدينة نصر قعدة عائلية ومجموعات دسمة ومشهورة جداً
45,منطقة البلو هول (Blue Hole),entertainment,150.0,دهب,5.0,4.9,خروجة مغامرة غطس وسنوركلينج ورؤية الشعاب المرجانية والأسماك الملونة في الهواء الطلق طبيعية وحماسية ومناسبة للشباب والمسافرين
46,الممشى السياحي بخليج نعمة,cafe,100.0,شرم الشيخ,3.0,4.6,خروجة تمشي وتفسح بليل كافيهات ومطاعم ومحلات تذكارية قعدة رايقة وأجواء سياحية حماسية ومناسبة للشباب والعائلات
47,محمية رأس محمد,entertainment,80.0,شرم الشيخ,6.0,4.9,خروجة طبيعية استكشافية محمية عالمية شواطئ وغطس وسنوركلينج وتخييم في الهواء الطلق هدوء تام ومناظر خلابة مناسبة لعشاق الطبيعة
48,كافيه ومطهّم سيكويا (Sequoia),cafe,280.0,القاهرة,2.5,4.6,مكان راقي وهادئ في الزمالك قعدة على النيل مباشرة أكل لبناني وشرقي ومشروبات مناسب للمقابلات الشبابية الشيك والرومانسية بليل
49,فلوكة في نيل جاردن سيتي,entertainment,150.0,القاهرة,1.5,4.7,خروجة نيلية ترفيهية جولة بالفلوكة أو المركب الصغير في النيل وسط البلد أجواء رايقة وأغاني وتصوير ومناسبة للمجموعات والشباب اقتصادية
50,مطعم صب واي (Subway),restaurant,110.0,القاهرة,0.5,4.3,وجبات خفيفة وسندوتشات صحية سريعة ومخصصة حسب الطلب مناسبة للشباب خروجة أكل سريعة وسهلة ومنتشر في المعادي والتجمع
51,القرية الفرعونية بالبحر الأعظم,museum,180.0,الجيزة,4.0,4.5,خروجة ثقافية ترفيهية للأطفال والعائلات تجسيد للحياة المصرية القديمة بملابس فرعونية ومتاحف وقوارب في النيل تجربة تعليمية ممتعة
52,مجمع كافيهات ومطاعم ريفيت (Rivette),cafe,220.0,القاهرة,2.0,4.4,مكان مودرن وقعدة رايقة في الشروق مطاعم وكافيهات متنوعة للتجمع والفسح الشبابية بليل تصوير مميز وأجواء حيوية
